Crop,Year,Production,Area,Yield,Previous_Production,Previous_Area,Previous_Yield
Coconut,2007-08,91.4,121.4,75.3,142.7,123.5,115.5
Coconut,2008-09,91.4,121.4,75.3,91.4,121.4,75.3
Coconut,2009-10,97.5,120.9,80.7,91.4,121.4,75.3
Coconut,2010-11,97.7,120.9,80.8,97.5,120.9,80.7
Cotton seed,2007-08,212.8,125.3,169.9,186.1,121.7,152.9
Cotton seed,2008-09,183.2,125.2,146.3,212.8,125.3,169.9
Cotton seed,2009-10,197.5,134.8,146.5,183.2,125.2,146.3
Cotton seed,2010-11,271.3,149.5,181.5,197.5,134.8,146.5
Total Fibers,2007-08,203.5,121.7,167.2,186.1,118.3,157.3
Total Fibers,2008-09,179.1,120.9,148.2,203.5,121.7,167.2
Total Fibers,2009-10,196.6,129.4,152.0,179.1,120.9,148.2
Total Fibers,2010-11,239.3,141.9,168.6,196.6,129.4,152.0
Cotton(lint),2007-08,243.8,125.3,194.6,213.1,121.7,175.2
Cotton(lint),2008-09,209.8,125.2,167.6,243.8,125.3,194.6
Cotton(lint),2009-10,226.2,134.8,167.8,209.8,125.2,167.6
Cotton(lint),2010-11,310.8,149.5,207.9,226.2,134.8,167.8
Jute,2007-08,218.3,106.4,205.2,220.3,103.6,212.7
Jute,2008-09,205.8,102.6,200.5,218.3,106.4,205.2
Jute,2009-10,239.8,106.0,226.3,205.8,102.6,200.5
Jute,2010-11,213.8,101.1,211.5,239.8,106.0,226.3
Mesta,2007-08,84.6,69.1,122.5,81.7,67.2,121.6
Mesta,2008-09,62.4,54.5,114.6,84.6,69.1,122.5
Mesta,2009-10,50.1,44.5,112.7,62.4,54.5,114.6
Mesta,2010-11,52.2,46.6,112.0,50.1,44.5,112.7
Jute & Mesta,2007-08,199.6,98.3,203.0,200.7,95.7,209.7
Jute & Mesta,2008-09,184.5,92.2,200.1,199.6,98.3,203.0
Jute & Mesta,2009-10,210.4,92.7,227.0,184.5,92.2,200.1
Jute & Mesta,2010-11,189.1,89.3,211.8,210.4,92.7,227.0
Sannhamp ,2007-08,93.0,51.4,182.7,97.9,54.2,180.7
Sannhamp ,2008-09,87.8,45.0,195.2,93.0,51.4,182.7
Sannhamp ,2009-10,69.0,45.0,179.4,87.8,45.0,195.2
Sannhamp ,2010-11,109.9,47.6,230.9,69.0,45.0,179.4
Tea ,2007-08,132.8,137.8,96.3,132.2,135.3,97.7
Tea ,2008-09,132.0,137.8,95.8,132.8,137.8,96.3
Tea ,2009-10,132.0,137.8,95.8,132.0,137.8,95.8
Tea ,2010-11,132.0,137.8,95.8,132.0,137.8,95.8
Coffee ,2007-08,139.8,119.8,116.7,138.0,117.9,117.0
Coffee ,2008-09,139.9,121.9,114.8,139.8,119.8,116.7
Coffee ,2009-10,154.5,123.7,125.0,139.9,121.9,114.8
Coffee ,2010-11,161.1,125.4,128.5,154.5,123.7,125.0
Rubber ,2007-08,208.6,138.1,151.1,215.5,98.6,218.5
Rubber ,2008-09,216.5,143.8,151.9,208.6,138.1,151.1
Rubber ,2009-10,210.1,149.2,140.9,216.5,143.8,151.9
Rubber ,2010-11,210.1,149.2,140.9,210.1,149.2,140.9
Total Spices,2007-08,1571.5,125.9,1247.7,1427.7,121.3,1176.6
Total Spices,2008-09,1463.0,126.5,1156.8,1571.5,125.9,1247.7
Total Spices,2009-10,1430.3,122.0,1172.1,1463.0,126.5,1156.8
Total Spices,2010-11,1790.6,136.6,1310.8,1430.3,122.0,1172.1
Black pepper,2007-08,91.5,104.7,87.4,134.2,130.8,102.6
Black pepper,2008-09,92.2,126.9,72.7,91.5,104.7,87.4
Black pepper,2009-10,99.2,104.2,95.2,92.2,126.9,72.7
Black pepper,2010-11,101.1,97.8,103.4,99.2,104.2,95.2
Dry chilies ,2007-08,170.8,88.3,193.4,163.5,83.6,195.5
Dry chilies ,2008-09,167.1,85.4,195.8,170.8,88.3,193.4
Dry chilies ,2009-10,158.3,84.0,188.4,167.1,85.4,195.8
Dry chilies ,2010-11,160.9,86.8,185.5,158.3,84.0,188.4
Dry ginger ,2007-08,200.6,172.9,116.0,206.3,176.2,117.1
Dry ginger ,2008-09,199.3,180.4,110.5,200.6,172.9,116.0
Dry ginger ,2009-10,202.0,179.4,112.6,199.3,180.4,110.5
Dry ginger ,2010-11,368.1,247.4,148.8,202.0,179.4,112.6
Turmeric ,2007-08,160.1,131.9,121.4,158.6,134.3,118.1
Turmeric ,2008-09,165.5,136.2,121.5,160.1,131.9,121.4
Turmeric ,2009-10,159.8,136.2,117.4,165.5,136.2,121.5
Turmeric ,2010-11,200.2,146.7,136.4,159.8,136.2,117.4
Arecanut  ,2007-08,184.3,169.5,108.7,182.5,167.7,108.8
Arecanut  ,2008-09,185.5,169.7,109.3,184.3,169.5,108.7
Arecanut  ,2009-10,184.3,175.4,105.1,185.5,169.7,109.3
Arecanut  ,2010-11,184.3,175.4,105.1,184.3,175.4,105.1
Cardamom ,2007-08,135.8,77.8,174.7,159.2,93.4,170.5
Cardamom ,2008-09,157.1,87.5,179.6,135.8,77.8,174.7
Cardamom ,2009-10,159.2,85.8,185.6,157.1,87.5,179.6
Cardamom ,2010-11,162.2,82.7,196.1,159.2,85.8,185.6
Coriander,2007-08,167.9,94.8,177.2,126.4,79.1,159.8
Coriander,2008-09,131.3,97.9,134.1,167.9,94.8,177.2
Coriander,2009-10,128.5,88.8,144.7,131.3,97.9,134.1
Coriander,2010-11,261.3,130.7,199.9,128.5,88.8,144.7
Garlic  ,2007-08,311.3,241.6,128.8,226.2,187.6,120.6
Garlic  ,2008-09,242.1,195.8,123.6,311.3,241.6,128.8
Garlic  ,2009-10,243.0,194.4,125.0,242.1,195.8,123.6
Garlic  ,2010-11,308.2,236.8,130.1,243.0,194.4,125.0
Total Fruits & Vegetables,2007-08,184.9,145.0,127.5,162.6,139.3,116.7
Total Fruits & Vegetables,2008-09,241.9,173.8,139.2,184.9,145.0,127.5
Total Fruits & Vegetables,2009-10,240.3,170.9,140.6,241.9,173.8,139.2
Total Fruits & Vegetables,2010-11,274.5,188.3,145.7,240.3,170.9,140.6
Potato,2007-08,174.2,148.8,117.1,135.7,142.2,95.5
Potato,2008-09,210.5,175.1,120.2,174.2,148.8,117.1
Potato,2009-10,223.8,175.8,127.4,210.5,175.1,120.2
Potato,2010-11,259.1,178.4,145.2,223.8,175.8,127.4
Tapioca,2007-08,151.5,103.9,145.7,146.4,105.1,139.2
Tapioca,2008-09,167.1,114.8,145.6,151.5,103.9,145.7
Tapioca,2009-10,140.0,95.1,147.1,167.1,114.8,145.6
Tapioca,2010-11,140.3,90.6,154.8,140.0,95.1,147.1
Sweet potato  ,2007-08,79.3,75.4,105.2,81.1,75.8,106.9
Sweet potato  ,2008-09,94.2,88.4,106.6,79.3,75.4,105.2
Sweet potato  ,2009-10,92.1,84.6,108.8,94.2,88.4,106.6
Sweet potato  ,2010-11,88.1,80.4,109.6,92.1,84.6,108.8
Onion,2007-08,247.3,208.4,118.7,240.5,207.7,115.8
Onion,2008-09,367.1,246.8,148.8,247.3,208.4,118.7
Onion,2009-10,329.1,223.6,147.1,367.1,246.8,148.8
Onion,2010-11,409.1,314.7,130.0,329.1,223.6,147.1
Banana  ,2007-08,201.1,131.2,153.3,189.3,117.6,161.0
Banana  ,2008-09,298.8,174.8,171.0,201.1,131.2,153.3
Banana  ,2009-10,301.7,189.8,159.0,298.8,174.8,171.0
Banana  ,2010-11,339.4,204.6,165.9,301.7,189.8,159.0
Sugarcane,2007-08,146.7,140.0,104.8,149.8,142.6,105.1
Sugarcane,2008-09,120.1,122.2,98.3,146.7,140.0,104.8
Sugarcane,2009-10,123.2,115.6,106.6,120.1,122.2,98.3
Sugarcane,2010-11,144.3,135.2,106.7,123.2,115.6,106.6
Tobacco,2007-08,83.6,83.9,88.3,88.1,88.8,99.1
Tobacco,2008-09,96.4,94.2,102.4,83.6,83.9,88.3
Tobacco,2009-10,105.3,107.1,109.6,96.4,94.2,102.4
Tobacco,2010-11,140.9,118.8,118.6,105.3,107.1,109.6
